0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:44 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:44 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:45 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:45 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:01:45 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:04:36 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:04:37 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:05:28 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:06:36 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:06:47 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:07:01 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:07:01 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:07:01 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:07:04 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:10:07:04 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
